system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
Wolf 1061,90.0,1.0,0,True,1337.9603809113698,survived
Wolf 1061,90.0,1.0,1,True,1337.960413084228,survived
Wolf 1061,90.0,1.0,2,True,1337.960806412252,survived
Wolf 1061,90.0,1.0,3,True,1337.9605619860063,survived
Wolf 1061,90.0,1.0,4,True,1337.9607354501334,survived
Wolf 1061,90.0,1.0,5,True,1337.9605196003108,survived
Wolf 1061,90.0,1.0,6,True,1337.960672405376,survived
Wolf 1061,90.0,1.0,7,True,1337.9607102180703,survived
Wolf 1061,90.0,1.0,8,True,1337.9606660247737,survived
Wolf 1061,90.0,1.0,9,True,1337.9604985293402,survived
Wolf 1061,90.0,1.0,10,True,1337.9604741667108,survived
Wolf 1061,90.0,1.0,11,True,1337.9603284825712,survived
Wolf 1061,90.0,1.0,12,True,1337.960709116794,survived
Wolf 1061,90.0,1.0,13,True,1337.960507151739,survived
Wolf 1061,90.0,1.0,14,True,1337.9603077387887,survived
Wolf 1061,90.0,1.0,15,True,1337.9605895571974,survived
Wolf 1061,90.0,1.0,16,True,1337.9606878923678,survived
Wolf 1061,90.0,1.0,17,True,1337.9607373964989,survived
Wolf 1061,90.0,1.0,18,True,1337.9603402090145,survived
Wolf 1061,90.0,1.0,19,True,1337.9603592364585,survived
Wolf 1061,70.0,1.0641777724759123,0,True,1337.9604914200395,survived
Wolf 1061,70.0,1.0641777724759123,1,True,1337.9609264849691,survived
Wolf 1061,70.0,1.0641777724759123,2,True,1337.960390682937,survived
Wolf 1061,70.0,1.0641777724759123,3,True,1337.9605090857092,survived
Wolf 1061,70.0,1.0641777724759123,4,True,1337.960848091101,survived
Wolf 1061,70.0,1.0641777724759123,5,True,1337.9608504745754,survived
Wolf 1061,70.0,1.0641777724759123,6,True,1337.9604456235077,survived
Wolf 1061,70.0,1.0641777724759123,7,True,1337.9605988969683,survived
Wolf 1061,70.0,1.0641777724759123,8,True,1337.9603308336436,survived
Wolf 1061,70.0,1.0641777724759123,9,True,1337.9604001585496,survived
Wolf 1061,70.0,1.0641777724759123,10,True,1337.9603479870793,survived
Wolf 1061,70.0,1.0641777724759123,11,True,1337.960495134153,survived
Wolf 1061,70.0,1.0641777724759123,12,False,4.69656932575122,close_encounter
Wolf 1061,70.0,1.0641777724759123,13,True,1337.9603382049017,survived
Wolf 1061,70.0,1.0641777724759123,14,True,1337.9607956263505,survived
Wolf 1061,70.0,1.0641777724759123,15,True,1337.960455940417,survived
Wolf 1061,70.0,1.0641777724759123,16,True,1337.9605060117296,survived
Wolf 1061,70.0,1.0641777724759123,17,True,1337.9603851603906,survived
Wolf 1061,70.0,1.0641777724759123,18,True,1337.960442564246,survived
Wolf 1061,70.0,1.0641777724759123,19,True,1337.960370132341,survived
Wolf 1061,55.0,1.220774588761456,0,True,1337.960548130802,survived
Wolf 1061,55.0,1.220774588761456,1,True,1337.9605313504144,survived
Wolf 1061,55.0,1.220774588761456,2,True,1337.9603137044985,survived
Wolf 1061,55.0,1.220774588761456,3,True,1337.9606427229198,survived
Wolf 1061,55.0,1.220774588761456,4,True,1337.960571630357,survived
Wolf 1061,55.0,1.220774588761456,5,True,1337.9607268938191,survived
Wolf 1061,55.0,1.220774588761456,6,True,1337.9605725199883,survived
Wolf 1061,55.0,1.220774588761456,7,True,1337.9606750479015,survived
Wolf 1061,55.0,1.220774588761456,8,True,1337.9603718784097,survived
Wolf 1061,55.0,1.220774588761456,9,True,1337.9606420320324,survived
Wolf 1061,55.0,1.220774588761456,10,True,1337.960348289028,survived
Wolf 1061,55.0,1.220774588761456,11,True,1337.9607287427118,survived
Wolf 1061,55.0,1.220774588761456,12,True,1337.960468692199,survived
Wolf 1061,55.0,1.220774588761456,13,True,1337.96048895379,survived
Wolf 1061,55.0,1.220774588761456,14,True,1337.96046961845,survived
Wolf 1061,55.0,1.220774588761456,15,True,1337.9606844056727,survived
Wolf 1061,55.0,1.220774588761456,16,True,1337.9607021938616,survived
Wolf 1061,55.0,1.220774588761456,17,True,1337.9606413749598,survived
Wolf 1061,55.0,1.220774588761456,18,True,1337.9604337009243,survived
Wolf 1061,55.0,1.220774588761456,19,True,1337.9603584496872,survived
Wolf 1061,45.0,1.4142135623730951,0,True,1337.9606188267755,survived
Wolf 1061,45.0,1.4142135623730951,1,True,1337.9607977080634,survived
Wolf 1061,45.0,1.4142135623730951,2,True,1337.96070446802,survived
Wolf 1061,45.0,1.4142135623730951,3,True,1337.9605519373592,survived
Wolf 1061,45.0,1.4142135623730951,4,True,1337.9603996538467,survived
Wolf 1061,45.0,1.4142135623730951,5,True,1337.9605190077934,survived
Wolf 1061,45.0,1.4142135623730951,6,True,1337.960872254122,survived
Wolf 1061,45.0,1.4142135623730951,7,True,1337.9604645133081,survived
Wolf 1061,45.0,1.4142135623730951,8,True,1337.9603419378107,survived
Wolf 1061,45.0,1.4142135623730951,9,True,1337.960794138091,survived
Wolf 1061,45.0,1.4142135623730951,10,True,1337.960587756566,survived
Wolf 1061,45.0,1.4142135623730951,11,True,1337.960778798744,survived
Wolf 1061,45.0,1.4142135623730951,12,True,1337.9603871025763,survived
Wolf 1061,45.0,1.4142135623730951,13,True,1337.960710568457,survived
Wolf 1061,45.0,1.4142135623730951,14,True,1337.9604391964758,survived
Wolf 1061,45.0,1.4142135623730951,15,True,1337.9606642222493,survived
Wolf 1061,45.0,1.4142135623730951,16,True,1337.9608092409267,survived
Wolf 1061,45.0,1.4142135623730951,17,True,1337.9606169263473,survived
Wolf 1061,45.0,1.4142135623730951,18,True,1337.9605796915275,survived
Wolf 1061,45.0,1.4142135623730951,19,True,1337.9604394579083,survived
Wolf 1061,38.0,1.624269245482744,0,True,1337.9604568412349,survived
Wolf 1061,38.0,1.624269245482744,1,True,1337.9605397604057,survived
Wolf 1061,38.0,1.624269245482744,2,True,1337.96082375068,survived
Wolf 1061,38.0,1.624269245482744,3,True,1337.9607880905187,survived
Wolf 1061,38.0,1.624269245482744,4,True,1337.9607420607697,survived
Wolf 1061,38.0,1.624269245482744,5,True,1337.9607335229284,survived
Wolf 1061,38.0,1.624269245482744,6,True,1337.9605911689137,survived
Wolf 1061,38.0,1.624269245482744,7,True,1337.9605632521682,survived
Wolf 1061,38.0,1.624269245482744,8,True,1337.9606286198825,survived
Wolf 1061,38.0,1.624269245482744,9,True,1337.9605271862963,survived
Wolf 1061,38.0,1.624269245482744,10,True,1337.9605261179972,survived
Wolf 1061,38.0,1.624269245482744,11,True,1337.9606419785587,survived
Wolf 1061,38.0,1.624269245482744,12,True,1337.9605518564406,survived
Wolf 1061,38.0,1.624269245482744,13,True,1337.9603768340862,survived
Wolf 1061,38.0,1.624269245482744,14,True,1337.9606436196361,survived
Wolf 1061,38.0,1.624269245482744,15,True,1337.9603487291151,survived
Wolf 1061,38.0,1.624269245482744,16,True,1337.960487662891,survived
Wolf 1061,38.0,1.624269245482744,17,True,1337.960537832213,survived
Wolf 1061,38.0,1.624269245482744,18,True,1337.9606639597987,survived
Wolf 1061,38.0,1.624269245482744,19,True,1337.9607032074389,survived
Wolf 1061,32.0,1.8870799147998585,0,True,1337.9603720804532,survived
Wolf 1061,32.0,1.8870799147998585,1,True,1337.9603685008146,survived
Wolf 1061,32.0,1.8870799147998585,2,True,1337.960779772318,survived
Wolf 1061,32.0,1.8870799147998585,3,True,1337.9606696450633,survived
Wolf 1061,32.0,1.8870799147998585,4,True,1337.9604055551913,survived
Wolf 1061,32.0,1.8870799147998585,5,True,1337.9603944187804,survived
Wolf 1061,32.0,1.8870799147998585,6,True,1337.960666259797,survived
Wolf 1061,32.0,1.8870799147998585,7,True,1337.9604818642656,survived
Wolf 1061,32.0,1.8870799147998585,8,True,1337.9605039389044,survived
Wolf 1061,32.0,1.8870799147998585,9,True,1337.9603957718298,survived
Wolf 1061,32.0,1.8870799147998585,10,True,1337.9606585443632,survived
Wolf 1061,32.0,1.8870799147998585,11,True,1337.9608423400289,survived
Wolf 1061,32.0,1.8870799147998585,12,True,1337.960514357894,survived
Wolf 1061,32.0,1.8870799147998585,13,True,1337.9607724037921,survived
Wolf 1061,32.0,1.8870799147998585,14,True,1337.9606069627805,survived
Wolf 1061,32.0,1.8870799147998585,15,True,1337.9605342835814,survived
Wolf 1061,32.0,1.8870799147998585,16,True,1337.9604425869206,survived
Wolf 1061,32.0,1.8870799147998585,17,True,1337.9608439136905,survived
Wolf 1061,32.0,1.8870799147998585,18,True,1337.9607114460896,survived
Wolf 1061,32.0,1.8870799147998585,19,True,1337.9607153024047,survived
Wolf 1061,27.0,2.2026892645852665,0,True,1337.9605409727096,survived
Wolf 1061,27.0,2.2026892645852665,1,True,1337.9605066831582,survived
Wolf 1061,27.0,2.2026892645852665,2,True,1337.9605574026766,survived
Wolf 1061,27.0,2.2026892645852665,3,True,1337.9606478819683,survived
Wolf 1061,27.0,2.2026892645852665,4,True,1337.9604435275817,survived
Wolf 1061,27.0,2.2026892645852665,5,True,1337.9607097403184,survived
Wolf 1061,27.0,2.2026892645852665,6,True,1337.9604888329527,survived
Wolf 1061,27.0,2.2026892645852665,7,True,1337.9605011136991,survived
Wolf 1061,27.0,2.2026892645852665,8,True,1337.9606166137141,survived
Wolf 1061,27.0,2.2026892645852665,9,True,1337.9603138670511,survived
Wolf 1061,27.0,2.2026892645852665,10,True,1337.960510661766,survived
Wolf 1061,27.0,2.2026892645852665,11,True,1337.9608583934676,survived
Wolf 1061,27.0,2.2026892645852665,12,True,1337.9603169280447,survived
Wolf 1061,27.0,2.2026892645852665,13,True,1337.9603103403401,survived
Wolf 1061,27.0,2.2026892645852665,14,True,1337.9603788757763,survived
Wolf 1061,27.0,2.2026892645852665,15,True,1337.9604127421974,survived
Wolf 1061,27.0,2.2026892645852665,16,True,1337.9606968393439,survived
Wolf 1061,27.0,2.2026892645852665,17,False,60.94883197378356,close_encounter
Wolf 1061,27.0,2.2026892645852665,18,True,1337.9606633708308,survived
Wolf 1061,27.0,2.2026892645852665,19,True,1337.9603440137628,survived
Wolf 1061,23.0,2.5593046652474523,0,True,1337.9606492121793,survived
Wolf 1061,23.0,2.5593046652474523,1,True,1337.960557007287,survived
Wolf 1061,23.0,2.5593046652474523,2,True,1337.9607330041483,survived
Wolf 1061,23.0,2.5593046652474523,3,True,1337.9604699006493,survived
Wolf 1061,23.0,2.5593046652474523,4,True,1337.9603153687842,survived
Wolf 1061,23.0,2.5593046652474523,5,True,1337.9606339462507,survived
Wolf 1061,23.0,2.5593046652474523,6,True,1337.9607906324425,survived
Wolf 1061,23.0,2.5593046652474523,7,True,1337.9605914751473,survived
Wolf 1061,23.0,2.5593046652474523,8,True,1337.9603705403201,survived
Wolf 1061,23.0,2.5593046652474523,9,True,1337.9604342151895,survived
Wolf 1061,23.0,2.5593046652474523,10,True,1337.960509189218,survived
Wolf 1061,23.0,2.5593046652474523,11,True,1337.9605055987167,survived
Wolf 1061,23.0,2.5593046652474523,12,True,1337.9606424156566,survived
Wolf 1061,23.0,2.5593046652474523,13,True,1337.9607950779568,survived
Wolf 1061,23.0,2.5593046652474523,14,True,1337.9605571864092,survived
Wolf 1061,23.0,2.5593046652474523,15,True,1337.960419261875,survived
Wolf 1061,23.0,2.5593046652474523,16,True,1337.9606281505123,survived
Wolf 1061,23.0,2.5593046652474523,17,True,1337.9606111845208,survived
Wolf 1061,23.0,2.5593046652474523,18,False,1.3673973033355817,close_encounter
Wolf 1061,23.0,2.5593046652474523,19,True,1337.9608018468607,survived
Wolf 1061,19.0,3.0715534867572423,0,True,1337.9603371683877,survived
Wolf 1061,19.0,3.0715534867572423,1,True,1337.9606568224733,survived
Wolf 1061,19.0,3.0715534867572423,2,True,1337.9605420385953,survived
Wolf 1061,19.0,3.0715534867572423,3,True,1337.9603248826036,survived
Wolf 1061,19.0,3.0715534867572423,4,True,1337.9606990918885,survived
Wolf 1061,19.0,3.0715534867572423,5,True,1337.960414808733,survived
Wolf 1061,19.0,3.0715534867572423,6,True,1337.96047460929,survived
Wolf 1061,19.0,3.0715534867572423,7,True,1337.9604258169948,survived
Wolf 1061,19.0,3.0715534867572423,8,True,1337.9608058342253,survived
Wolf 1061,19.0,3.0715534867572423,9,True,1337.960485162599,survived
Wolf 1061,19.0,3.0715534867572423,10,True,1337.960495493945,survived
Wolf 1061,19.0,3.0715534867572423,11,True,1337.9604899670132,survived
Wolf 1061,19.0,3.0715534867572423,12,True,1337.960604396394,survived
Wolf 1061,19.0,3.0715534867572423,13,True,1337.9605566327916,survived
Wolf 1061,19.0,3.0715534867572423,14,True,1337.960445862954,survived
Wolf 1061,19.0,3.0715534867572423,15,True,1337.9603353047396,survived
Wolf 1061,19.0,3.0715534867572423,16,True,1337.9605141188135,survived
Wolf 1061,19.0,3.0715534867572423,17,True,1337.9605731306308,survived
Wolf 1061,19.0,3.0715534867572423,18,True,1337.9605899664743,survived
Wolf 1061,19.0,3.0715534867572423,19,True,1337.960693275428,survived
Wolf 1061,16.0,3.6279552785433005,0,True,1337.9606506976038,survived
Wolf 1061,16.0,3.6279552785433005,1,True,1337.9606056452858,survived
Wolf 1061,16.0,3.6279552785433005,2,True,1337.9607414781692,survived
Wolf 1061,16.0,3.6279552785433005,3,True,1337.9603957247073,survived
Wolf 1061,16.0,3.6279552785433005,4,True,1337.9605691607703,survived
Wolf 1061,16.0,3.6279552785433005,5,True,1337.9606821473828,survived
Wolf 1061,16.0,3.6279552785433005,6,True,1337.9608117774899,survived
Wolf 1061,16.0,3.6279552785433005,7,True,1337.960467428871,survived
Wolf 1061,16.0,3.6279552785433005,8,True,1337.9603172119835,survived
Wolf 1061,16.0,3.6279552785433005,9,True,1337.9606215528352,survived
Wolf 1061,16.0,3.6279552785433005,10,True,1337.9604252886163,survived
Wolf 1061,16.0,3.6279552785433005,11,True,1337.9606794713445,survived
Wolf 1061,16.0,3.6279552785433005,12,True,1337.9605365879304,survived
Wolf 1061,16.0,3.6279552785433005,13,True,1337.9604083023708,survived
Wolf 1061,16.0,3.6279552785433005,14,True,1337.9605225056596,survived
Wolf 1061,16.0,3.6279552785433005,15,False,1243.4186721344363,close_encounter
Wolf 1061,16.0,3.6279552785433005,16,True,1337.9606750045073,survived
Wolf 1061,16.0,3.6279552785433005,17,True,1337.9603708329705,survived
Wolf 1061,16.0,3.6279552785433005,18,True,1337.960307896288,survived
Wolf 1061,16.0,3.6279552785433005,19,True,1337.960433649214,survived
Wolf 1061,13.5,4.283657569731186,0,True,1337.9607045928474,survived
Wolf 1061,13.5,4.283657569731186,1,True,1337.9607305226418,survived
Wolf 1061,13.5,4.283657569731186,2,True,1337.9606134672551,survived
Wolf 1061,13.5,4.283657569731186,3,True,1337.9606258103258,survived
Wolf 1061,13.5,4.283657569731186,4,True,1337.9606825934081,survived
Wolf 1061,13.5,4.283657569731186,5,True,1337.9603746949808,survived
Wolf 1061,13.5,4.283657569731186,6,True,1337.9607943803912,survived
Wolf 1061,13.5,4.283657569731186,7,True,1337.960601724991,survived
