system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
GJ 849,90.0,1.0,0,True,527121.3164535421,survived
GJ 849,90.0,1.0,1,True,527121.1968613908,survived
GJ 849,90.0,1.0,2,True,527121.2874995348,survived
GJ 849,90.0,1.0,3,True,527121.3989661629,survived
GJ 849,90.0,1.0,4,True,527121.1570531098,survived
GJ 849,90.0,1.0,5,True,527121.3802676765,survived
GJ 849,90.0,1.0,6,True,527121.340164813,survived
GJ 849,90.0,1.0,7,True,527121.3197479236,survived
GJ 849,90.0,1.0,8,True,527121.2966205971,survived
GJ 849,90.0,1.0,9,True,527121.3130281098,survived
GJ 849,90.0,1.0,10,True,527121.3907744116,survived
GJ 849,90.0,1.0,11,True,527121.1716487833,survived
GJ 849,90.0,1.0,12,True,527121.3491099396,survived
GJ 849,90.0,1.0,13,True,527121.1848397936,survived
GJ 849,90.0,1.0,14,True,527121.1826109637,survived
GJ 849,90.0,1.0,15,True,527121.2993931258,survived
GJ 849,90.0,1.0,16,True,527121.1935535523,survived
GJ 849,90.0,1.0,17,True,527121.3637291305,survived
GJ 849,90.0,1.0,18,True,527121.206176943,survived
GJ 849,90.0,1.0,19,True,527121.3164939357,survived
GJ 849,70.0,1.0641777724759123,0,True,527121.161187419,survived
GJ 849,70.0,1.0641777724759123,1,True,527121.2254236717,survived
GJ 849,70.0,1.0641777724759123,2,True,527121.1925529335,survived
GJ 849,70.0,1.0641777724759123,3,True,527121.2817678048,survived
GJ 849,70.0,1.0641777724759123,4,True,527121.3259516931,survived
GJ 849,70.0,1.0641777724759123,5,True,527121.1779094392,survived
GJ 849,70.0,1.0641777724759123,6,True,527121.3886962549,survived
GJ 849,70.0,1.0641777724759123,7,True,527121.3226100235,survived
GJ 849,70.0,1.0641777724759123,8,True,527121.1858197917,survived
GJ 849,70.0,1.0641777724759123,9,True,527121.3780218473,survived
GJ 849,70.0,1.0641777724759123,10,True,527121.2777544342,survived
GJ 849,70.0,1.0641777724759123,11,True,527121.2961094675,survived
GJ 849,70.0,1.0641777724759123,12,True,527121.321626909,survived
GJ 849,70.0,1.0641777724759123,13,True,527121.2835815705,survived
GJ 849,70.0,1.0641777724759123,14,True,527121.1529037089,survived
GJ 849,70.0,1.0641777724759123,15,True,527121.1839180517,survived
GJ 849,70.0,1.0641777724759123,16,True,527121.2721184856,survived
GJ 849,70.0,1.0641777724759123,17,True,527121.3595297611,survived
GJ 849,70.0,1.0641777724759123,18,True,527121.2801317268,survived
GJ 849,70.0,1.0641777724759123,19,True,527121.2122826203,survived
GJ 849,55.0,1.220774588761456,0,True,527121.2669932151,survived
GJ 849,55.0,1.220774588761456,1,True,527121.311943527,survived
GJ 849,55.0,1.220774588761456,2,True,527121.1627873265,survived
GJ 849,55.0,1.220774588761456,3,True,527121.345219399,survived
GJ 849,55.0,1.220774588761456,4,True,527121.2375056521,survived
GJ 849,55.0,1.220774588761456,5,True,527121.2868980839,survived
GJ 849,55.0,1.220774588761456,6,True,527121.3433452998,survived
GJ 849,55.0,1.220774588761456,7,True,527121.3000297317,survived
GJ 849,55.0,1.220774588761456,8,True,527121.3511704077,survived
GJ 849,55.0,1.220774588761456,9,True,527121.1557884121,survived
GJ 849,55.0,1.220774588761456,10,True,527121.1829683938,survived
GJ 849,55.0,1.220774588761456,11,True,527121.3900966558,survived
GJ 849,55.0,1.220774588761456,12,True,527121.286762176,survived
GJ 849,55.0,1.220774588761456,13,True,527121.1615348754,survived
GJ 849,55.0,1.220774588761456,14,True,527121.179102011,survived
GJ 849,55.0,1.220774588761456,15,True,527121.2222951874,survived
GJ 849,55.0,1.220774588761456,16,True,527121.3856695803,survived
GJ 849,55.0,1.220774588761456,17,True,527121.3437019525,survived
GJ 849,55.0,1.220774588761456,18,True,527121.3100349149,survived
GJ 849,55.0,1.220774588761456,19,True,527121.2703213905,survived
GJ 849,45.0,1.4142135623730951,0,True,527121.3806049586,survived
GJ 849,45.0,1.4142135623730951,1,True,527121.3786472867,survived
GJ 849,45.0,1.4142135623730951,2,True,527121.3804001317,survived
GJ 849,45.0,1.4142135623730951,3,True,527121.3821865517,survived
GJ 849,45.0,1.4142135623730951,4,True,527121.3897784753,survived
GJ 849,45.0,1.4142135623730951,5,True,527121.2434097041,survived
GJ 849,45.0,1.4142135623730951,6,True,527121.3815775561,survived
GJ 849,45.0,1.4142135623730951,7,True,527121.2696433878,survived
GJ 849,45.0,1.4142135623730951,8,True,527121.1534392647,survived
GJ 849,45.0,1.4142135623730951,9,True,527121.352821162,survived
GJ 849,45.0,1.4142135623730951,10,True,527121.2840459386,survived
GJ 849,45.0,1.4142135623730951,11,True,527121.2354035066,survived
GJ 849,45.0,1.4142135623730951,12,True,527121.1623115757,survived
