system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
TOI-6695,90.0,1.0,0,True,22009.315218711898,survived
TOI-6695,90.0,1.0,1,True,22009.31255465781,survived
TOI-6695,90.0,1.0,2,True,22009.316108562398,survived
TOI-6695,90.0,1.0,3,True,22009.313623898728,survived
TOI-6695,90.0,1.0,4,True,22009.31080145852,survived
TOI-6695,90.0,1.0,5,True,22009.318709467654,survived
TOI-6695,90.0,1.0,6,True,22009.309071274558,survived
TOI-6695,90.0,1.0,7,True,22009.316430167626,survived
TOI-6695,90.0,1.0,8,True,22009.318762563733,survived
TOI-6695,90.0,1.0,9,True,22009.31426346058,survived
TOI-6695,90.0,1.0,10,True,22009.313545072608,survived
TOI-6695,90.0,1.0,11,True,22009.314129912986,survived
TOI-6695,90.0,1.0,12,True,22009.318626171236,survived
TOI-6695,90.0,1.0,13,True,22009.31481389099,survived
TOI-6695,90.0,1.0,14,True,22009.312111304313,survived
TOI-6695,90.0,1.0,15,True,22009.31850552367,survived
TOI-6695,90.0,1.0,16,True,22009.310404434465,survived
TOI-6695,90.0,1.0,17,True,22009.318292141143,survived
TOI-6695,90.0,1.0,18,True,22009.31836781804,survived
TOI-6695,90.0,1.0,19,True,22009.318619032816,survived
TOI-6695,70.0,1.0641777724759123,0,True,22009.31407744063,survived
TOI-6695,70.0,1.0641777724759123,1,True,22009.317095808718,survived
TOI-6695,70.0,1.0641777724759123,2,True,22009.31203580643,survived
TOI-6695,70.0,1.0641777724759123,3,True,22009.312767071682,survived
TOI-6695,70.0,1.0641777724759123,4,True,22009.317444305398,survived
TOI-6695,70.0,1.0641777724759123,5,True,22009.313025158583,survived
TOI-6695,70.0,1.0641777724759123,6,True,22009.31494224409,survived
TOI-6695,70.0,1.0641777724759123,7,True,22009.315602075938,survived
TOI-6695,70.0,1.0641777724759123,8,True,22009.312450349305,survived
TOI-6695,70.0,1.0641777724759123,9,True,22009.312348207182,survived
TOI-6695,70.0,1.0641777724759123,10,True,22009.3185667158,survived
TOI-6695,70.0,1.0641777724759123,11,True,22009.31892971599,survived
TOI-6695,70.0,1.0641777724759123,12,True,22009.317442422373,survived
TOI-6695,70.0,1.0641777724759123,13,True,22009.311451707952,survived
TOI-6695,70.0,1.0641777724759123,14,True,22009.315481445978,survived
TOI-6695,70.0,1.0641777724759123,15,True,22009.312888143548,survived
TOI-6695,70.0,1.0641777724759123,16,True,22009.3171847708,survived
TOI-6695,70.0,1.0641777724759123,17,True,22009.31088694937,survived
TOI-6695,70.0,1.0641777724759123,18,True,22009.313760204524,survived
TOI-6695,70.0,1.0641777724759123,19,True,22009.315671730532,survived
TOI-6695,55.0,1.220774588761456,0,True,22009.309543082934,survived
TOI-6695,55.0,1.220774588761456,1,True,22009.316847156355,survived
TOI-6695,55.0,1.220774588761456,2,True,22009.318587526282,survived
TOI-6695,55.0,1.220774588761456,3,True,22009.3153987941,survived
TOI-6695,55.0,1.220774588761456,4,True,22009.31475826984,survived
TOI-6695,55.0,1.220774588761456,5,True,22009.316809845615,survived
TOI-6695,55.0,1.220774588761456,6,True,22009.317988363528,survived
TOI-6695,55.0,1.220774588761456,7,True,22009.316476439802,survived
TOI-6695,55.0,1.220774588761456,8,True,22009.313009012007,survived
TOI-6695,55.0,1.220774588761456,9,True,22009.309812104173,survived
TOI-6695,55.0,1.220774588761456,10,True,22009.315383996884,survived
TOI-6695,55.0,1.220774588761456,11,True,22009.31668501951,survived
TOI-6695,55.0,1.220774588761456,12,True,22009.310161584854,survived
TOI-6695,55.0,1.220774588761456,13,True,22009.31721736002,survived
TOI-6695,55.0,1.220774588761456,14,True,22009.312640748867,survived
TOI-6695,55.0,1.220774588761456,15,True,22009.309372208747,survived
TOI-6695,55.0,1.220774588761456,16,True,22009.313855784887,survived
TOI-6695,55.0,1.220774588761456,17,True,22009.318420776588,survived
TOI-6695,55.0,1.220774588761456,18,True,22009.310442888345,survived
TOI-6695,55.0,1.220774588761456,19,True,22009.315184816794,survived
TOI-6695,45.0,1.4142135623730951,0,True,22009.314210262393,survived
TOI-6695,45.0,1.4142135623730951,1,True,22009.315310329173,survived
TOI-6695,45.0,1.4142135623730951,2,True,22009.309472214703,survived
TOI-6695,45.0,1.4142135623730951,3,True,22009.31784070554,survived
TOI-6695,45.0,1.4142135623730951,4,True,22009.315429898994,survived
TOI-6695,45.0,1.4142135623730951,5,True,22009.31610597647,survived
TOI-6695,45.0,1.4142135623730951,6,True,22009.313588567336,survived
TOI-6695,45.0,1.4142135623730951,7,True,22009.317947071013,survived
TOI-6695,45.0,1.4142135623730951,8,True,22009.30959022032,survived
TOI-6695,45.0,1.4142135623730951,9,True,22009.31265093731,survived
TOI-6695,45.0,1.4142135623730951,10,True,22009.31384562091,survived
TOI-6695,45.0,1.4142135623730951,11,True,22009.318287275844,survived
TOI-6695,45.0,1.4142135623730951,12,True,22009.311826341254,survived
TOI-6695,45.0,1.4142135623730951,13,True,22009.317199590056,survived
TOI-6695,45.0,1.4142135623730951,14,True,22009.31439977279,survived
