system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
47 UMa,47 UMa b,2.53,True,0.4,6.392453221499662,16.172906650394143,9.0,295140.4513487441
47 UMa,47 UMa c,0.54,True,0.4,6.392453221499662,3.451924739609818,9.0,295140.4513487441
47 UMa,47 UMa d,1.64,True,0.4,6.392453221499662,10.483623283259444,9.0,295140.4513487441
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,1.0,2.6694671625540143,6.6736679063850355,22.0,54318.98494425638
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,1.0,2.6694671625540143,26.694671625540142,22.0,54318.98494425638
Barnard's star,Barnard d,0.00082749,True,0.6,1.220774588761456,0.0010101787644542172,55.0,640.7121341246974
Barnard's star,Barnard b,0.00094076,True,0.6,1.220774588761456,0.0011484559021232275,55.0,640.7121341246974
Barnard's star,Barnard c,0.00105403,True,0.6,1.220774588761456,0.0012867330397922376,55.0,640.7121341246974
Barnard's star,Barnard e,0.00060725,True,0.6,1.220774588761456,0.0007413153690253942,55.0,640.7121341246974
HD 95089,HD 95089 b,1.26,True,1.0,2.0000000000000004,2.5200000000000005,29.999999999999993,127145.84462070843
HD 95089,HD 95089 c,3.45,True,1.0,2.0000000000000004,6.900000000000002,29.999999999999993,127145.84462070843
HIP 57274,HIP 57274 b,10.57,False,0.6,1.220774588761456,,55.0,2227.2971684418444
HIP 57274,HIP 57274 c,0.40902369,True,0.6,1.220774588761456,0.4993257269534433,55.0,2227.2971684418444
HIP 57274,HIP 57274 d,0.5267,True,0.6,1.220774588761456,0.6429819759006589,55.0,2227.2971684418444
HIP 65407,HIP 65407 b,0.428,True,1.0,4.809734344744131,2.058566299550488,12.000000000000002,7700.20882499455
HIP 65407,HIP 65407 c,0.784,True,1.0,4.809734344744131,3.7708317262793987,12.000000000000002,7700.20882499455
HD 147873,HD 147873 b,5.14,True,1.0,4.809734344744131,24.722034531984832,12.000000000000002,31922.256416277618
HD 147873,HD 147873 c,2.3,True,1.0,4.809734344744131,11.0623889929115,12.000000000000002,31922.256416277618
HD 94890,HD 94890 b,2.13,True,1.0,8.205509048125078,17.477734272506417,7.0,225766.0113057247
HD 94890,HD 94890 c,8.91,True,1.0,8.205509048125078,73.11108561879445,7.0,225766.0113057247
HIP 111909,HIP 111909 b,1.21,True,1.0,4.809734344744131,5.819778557140398,12.000000000000002,133355.30211223496
HIP 111909,HIP 111909 c,0.81,True,1.0,4.809734344744131,3.895884819242746,12.000000000000002,133355.30211223496
HD 141399,HD 141399 b,0.451,True,0.8,11.473713245669856,5.174644673797105,5.0,25856.27475099272
