system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
Barnard's star,Barnard d,0.00082749,True,0.6,1.0641777724759123,0.0008805964649460926,70.0,6407.11872674263
Barnard's star,Barnard b,0.00094076,True,0.6,1.0641777724759123,0.0010011358812344392,70.0,6407.11872674263
Barnard's star,Barnard c,0.00105403,True,0.6,1.0641777724759123,0.0011216752975227859,70.0,6407.11872674263
Barnard's star,Barnard e,0.00060725,True,0.6,1.0641777724759123,0.0006462219523359978,70.0,6407.11872674263
47 UMa,47 UMa b,2.53,True,0.4,6.392453221499662,16.172906650394143,9.0,2951403.277275487
47 UMa,47 UMa c,0.54,True,0.4,6.392453221499662,3.451924739609818,9.0,2951403.277275487
47 UMa,47 UMa d,1.64,True,0.4,6.392453221499662,10.483623283259444,9.0,2951403.277275487
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,1.0,2.6694671625540143,6.6736679063850355,22.0,543189.620425805
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,1.0,2.6694671625540143,26.694671625540142,22.0,543189.620425805
HIP 57274,HIP 57274 b,10.57,False,0.6,1.220774588761456,,55.0,22272.964748132883
HIP 57274,HIP 57274 c,0.40902369,True,0.6,1.220774588761456,0.4993257269534433,55.0,22272.964748132883
HIP 57274,HIP 57274 d,0.5267,True,0.6,1.220774588761456,0.6429819759006589,55.0,22272.964748132883
HD 95089,HD 95089 b,1.26,True,1.0,2.0000000000000004,2.5200000000000005,29.999999999999993,1271457.954856437
HD 95089,HD 95089 c,3.45,True,1.0,2.0000000000000004,6.900000000000002,29.999999999999993,1271457.954856437
HIP 65407,HIP 65407 b,0.428,True,0.8,4.809734344744131,2.058566299550488,12.000000000000002,77002.05663145261
HIP 65407,HIP 65407 c,0.784,True,0.8,4.809734344744131,3.7708317262793987,12.000000000000002,77002.05663145261
HD 94890,HD 94890 b,2.13,True,1.0,4.809734344744131,10.244734154304998,12.000000000000002,2257659.225500631
HD 94890,HD 94890 c,8.91,True,1.0,4.809734344744131,42.854733011670206,12.000000000000002,2257659.225500631
HD 147873,HD 147873 b,5.14,True,1.0,4.809734344744131,24.722034531984832,12.000000000000002,319222.4617134833
HD 147873,HD 147873 c,2.3,True,1.0,4.809734344744131,11.0623889929115,12.000000000000002,319222.4617134833
HIP 111909,HIP 111909 b,1.21,True,1.0,4.809734344744131,5.819778557140398,12.000000000000002,1333552.4277342202
HIP 111909,HIP 111909 c,0.81,True,1.0,4.809734344744131,3.895884819242746,12.000000000000002,1333552.4277342202
HD 96700,HD 96700 b,0.02800253,True,0.8,6.392453221499662,0.17900486310864094,9.0,22243.669597391796
HD 96700,HD 96700 c,0.01101223,True,0.8,6.392453221499662,0.07039516513939521,9.0,22243.669597391796
HD 96700,HD 96700 d,0.03995867,True,0.8,6.392453221499662,0.2554339287683419,9.0,22243.669597391796
HD 141399,HD 141399 b,0.451,True,0.8,1.220774588761456,0.5505693395314167,55.0,258562.64091946604
HD 141399,HD 141399 c,1.33,True,0.8,1.220774588761456,1.6236302030527368,55.0,258562.64091946604
HD 141399,HD 141399 d,1.18,True,0.8,1.220774588761456,1.440514014738518,55.0,258562.64091946604
HD 141399,HD 141399 e,0.66,True,0.8,1.220774588761456,0.8057112285825611,55.0,258562.64091946604
GJ 229,GJ 229 A c,0.027,True,0.8,6.392453221499662,0.17259623698049087,9.0,333833.4940882913
GJ 229,GJ 229 b,0.047,True,0.8,6.392453221499662,0.3004453014104841,9.0,333833.4940882913
61 Vir,61 Vir b,0.016,True,0.8,,,,11540.04161349242
61 Vir,61 Vir c,0.057,True,0.8,,,,11540.04161349242
61 Vir,61 Vir d,0.072,True,0.8,,,,11540.04161349242
HD 108874,HD 108874 b,1.42,True,1.0,,,,1080030.7901831996
HD 108874,HD 108874 c,0.99,True,1.0,,,,1080030.7901831996
HD 142,HD 142 A d,0.26,True,1.0,,,,296928.11689919094
HD 142,HD 142 b,7.1,False,1.0,,,,296928.11689919094
HD 142,HD 142 c,10.901,False,1.0,,,,296928.11689919094
GJ 849,GJ 849 b,0.893,True,1.0,8.205509048125078,7.327519579975695,7.0,5271211.739761181
GJ 849,GJ 849 c,0.99,True,1.0,8.205509048125078,8.123453957643827,7.0,5271211.739761181
HD 125612,HD 125612 c,0.049,True,1.0,11.473713245669856,0.562211949037823,5.0,11374.839642967869
HD 125612,HD 125612 b,2.974,True,1.0,11.473713245669856,34.12282319262216,5.0,11374.839642967869
HD 125612,HD 125612 d,7.178,False,1.0,11.473713245669856,,5.0,11374.839642967869
Kepler-20,Kepler-20 b,0.03051961,False,0.6,1.5557238268604126,,39.99999999999999,10119.384148656185
Kepler-20,Kepler-20 e,0.00239123,False,0.6,1.5557238268604126,,39.99999999999999,10119.384148656185
Kepler-20,Kepler-20 c,0.03492451,False,0.6,1.5557238268604126,,39.99999999999999,10119.384148656185
Kepler-20,Kepler-20 f,0.00440489,False,0.6,1.5557238268604126,,39.99999999999999,10119.384148656185
Kepler-20,Kepler-20 g,0.06280087,True,0.6,1.5557238268604126,0.09770080980656327,39.99999999999999,10119.384148656185
Kepler-20,Kepler-20 d,0.04216111,False,0.6,1.5557238268604126,,39.99999999999999,10119.384148656185
HD 48948,HD 48948 b,0.0153542,True,0.6,2.6694671625540143,0.04098753270728685,22.0,20096.181596186867
HD 48948,HD 48948 c,0.02287398,True,0.6,2.6694671625540143,0.06106133848691727,22.0,20096.181596186867
HD 48948,HD 48948 d,0.03331987,True,0.6,2.6694671625540143,0.08894629882556863,22.0,20096.181596186867
HD 60532,HD 60532 b,1.06,True,1.0,11.473713245669856,12.162136040410049,5.0,552772.0919102941
HD 60532,HD 60532 c,2.51,True,1.0,11.473713245669856,28.799020246631336,5.0,552772.0919102941
GJ 667 C,GJ 667 C b,0.01789,True,0.0,1.0,0.01789,90.0,19720.739477309857
GJ 667 C,GJ 667 C c,0.012,True,0.0,1.0,0.012,90.0,19720.739477309857
GJ 667 C,GJ 667 C f,0.008,True,0.0,1.0,0.008,90.0,19720.739477309857
GJ 667 C,GJ 667 C e,0.008,True,0.0,1.0,0.008,90.0,19720.739477309857
GJ 667 C,GJ 667 C g,0.014,True,0.0,1.0,0.014,90.0,19720.739477309857
