system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
HIP 65407,90.0,1.0,0,False,15168.356744714918,close_encounter
HIP 65407,90.0,1.0,1,True,77002.05480992715,survived
HIP 65407,90.0,1.0,2,True,77002.05595026338,survived
HIP 65407,90.0,1.0,3,True,77002.05449160683,survived
HIP 65407,90.0,1.0,4,True,77002.05472496396,survived
HIP 65407,90.0,1.0,5,True,77002.05472036089,survived
HIP 65407,90.0,1.0,6,True,77002.05529471963,survived
HIP 65407,90.0,1.0,7,True,77002.05382616738,survived
HIP 65407,90.0,1.0,8,True,77002.05381853781,survived
HIP 65407,90.0,1.0,9,True,77002.05594992593,survived
HIP 65407,90.0,1.0,10,True,77002.05398165558,survived
HIP 65407,90.0,1.0,11,True,77002.05497918445,survived
HIP 65407,90.0,1.0,12,True,77002.05409766985,survived
HIP 65407,90.0,1.0,13,True,77002.05618621598,survived
HIP 65407,90.0,1.0,14,True,77002.05441187411,survived
HIP 65407,90.0,1.0,15,True,77002.0539666819,survived
HIP 65407,90.0,1.0,16,True,77002.05350944922,survived
HIP 65407,90.0,1.0,17,True,77002.05384963179,survived
HIP 65407,90.0,1.0,18,True,77002.05427290754,survived
HIP 65407,90.0,1.0,19,True,77002.0553937473,survived
HIP 65407,70.0,1.0641777724759123,0,True,77002.05573587824,survived
HIP 65407,70.0,1.0641777724759123,1,True,77002.0537705894,survived
HIP 65407,70.0,1.0641777724759123,2,True,77002.05345208713,survived
HIP 65407,70.0,1.0641777724759123,3,True,77002.05474673837,survived
HIP 65407,70.0,1.0641777724759123,4,True,77002.05490751805,survived
HIP 65407,70.0,1.0641777724759123,5,True,77002.05461184455,survived
HIP 65407,70.0,1.0641777724759123,6,True,77002.05400248141,survived
HIP 65407,70.0,1.0641777724759123,7,True,77002.05525868719,survived
HIP 65407,70.0,1.0641777724759123,8,True,77002.05470816875,survived
HIP 65407,70.0,1.0641777724759123,9,True,77002.05544497346,survived
HIP 65407,70.0,1.0641777724759123,10,True,77002.05511266988,survived
HIP 65407,70.0,1.0641777724759123,11,True,77002.05355402736,survived
HIP 65407,70.0,1.0641777724759123,12,True,77002.05459230466,survived
HIP 65407,70.0,1.0641777724759123,13,True,77002.05550494285,survived
HIP 65407,70.0,1.0641777724759123,14,True,77002.05494951477,survived
HIP 65407,70.0,1.0641777724759123,15,True,77002.05342109074,survived
HIP 65407,70.0,1.0641777724759123,16,True,77002.05429162562,survived
HIP 65407,70.0,1.0641777724759123,17,True,77002.05522067258,survived
HIP 65407,70.0,1.0641777724759123,18,True,77002.05340247726,survived
HIP 65407,70.0,1.0641777724759123,19,True,77002.0541122322,survived
HIP 65407,55.0,1.220774588761456,0,True,77002.05480167738,survived
HIP 65407,55.0,1.220774588761456,1,True,77002.05400512874,survived
