system,inclination_deg,mass_factor,draw,survived,t_end_yr,reason
BD-210397,90.0,1.0,0,False,47.49932996622744,close_encounter
BD-210397,90.0,1.0,1,True,5177275.934649926,survived
BD-210397,90.0,1.0,2,True,5177275.962576173,survived
BD-210397,90.0,1.0,3,False,12.79793862093919,close_encounter
BD-210397,90.0,1.0,4,True,5177275.998684255,survived
BD-210397,90.0,1.0,5,False,74.79680760312878,close_encounter
BD-210397,90.0,1.0,6,False,119490.88260665405,close_encounter
BD-210397,90.0,1.0,7,False,159.06123220487692,close_encounter
BD-210397,90.0,1.0,8,False,268.7849328276284,close_encounter
BD-210397,90.0,1.0,9,False,344.840590576418,close_encounter
BD-210397,90.0,1.0,10,True,5177275.98100478,survived
BD-210397,90.0,1.0,11,True,5177276.006110506,survived
BD-210397,90.0,1.0,12,True,5177275.992637555,survived
BD-210397,90.0,1.0,13,False,20.287408449488385,close_encounter
BD-210397,90.0,1.0,14,False,155510.03791524612,escape
BD-210397,90.0,1.0,15,True,5177276.008316066,survived
BD-210397,90.0,1.0,16,False,2465.5975359493136,close_encounter
BD-210397,90.0,1.0,17,True,5177275.839337666,survived
BD-210397,90.0,1.0,18,False,14.934213007336764,close_encounter
BD-210397,90.0,1.0,19,True,5177275.992424232,survived
BD-210397,85.0,1.0038198375433474,0,True,5177275.912218669,survived
BD-210397,85.0,1.0038198375433474,1,False,6786.471759029683,close_encounter
BD-210397,85.0,1.0038198375433474,2,False,58.178423953748236,close_encounter
BD-210397,85.0,1.0038198375433474,3,False,652095.7046299815,close_encounter
BD-210397,85.0,1.0038198375433474,4,False,14.47847477297527,close_encounter
BD-210397,85.0,1.0038198375433474,5,False,41.22327294589599,close_encounter
BD-210397,85.0,1.0038198375433474,6,True,5177275.9403413925,survived
BD-210397,85.0,1.0038198375433474,7,True,5177275.875918834,survived
BD-210397,85.0,1.0038198375433474,8,True,5177275.869773246,survived
BD-210397,85.0,1.0038198375433474,9,False,6.4644388255102765,close_encounter
BD-210397,85.0,1.0038198375433474,10,False,60768.827753704194,close_encounter
BD-210397,85.0,1.0038198375433474,11,True,5177275.934979065,survived
BD-210397,85.0,1.0038198375433474,12,True,5177275.877012371,survived
BD-210397,85.0,1.0038198375433474,13,True,5177276.073126057,survived
BD-210397,85.0,1.0038198375433474,14,True,5177276.063112594,survived
BD-210397,85.0,1.0038198375433474,15,True,5177275.852670681,survived
